f_corona,g_feedback,d_ratio,theta,kTe_keV,tau_T,fixed_xi,effective_albedo,eta,p_sc,A_model,A_required,l_s_over_l_c,l_h_over_l_c,intrinsic_seed_over_l_c,reprocessed_seed_over_l_c,returning_reflection_over_l_c,downward_flux_model,reflected_flux_model_hemisphere,energy_log_residual,last_scatter_order,last_difmax,converged,max_scatter,hemisphere_mu_order,exact_angles,root_method,root_iterations
0.8,1.0,0.24999999999999994,0.039138943248532294,20.000000000000004,1.2539145691970703,100.0,0.00031610037817820423,0.573276384385695,0.8436172059698874,1.471797861158469,1.4712278381045654,1.5939157832172683,2.345013271863486,0.24999999999999994,1.3439157832172683,0.0004249466130997424,6.701986114610266e-12,2.118500345373379e-15,0.0003873721260227887,53,0.0023656202986880714,True,800,4,True,global,9
0.8,1.0,0.24999999999999994,0.058708414872798424,29.999999999999996,0.8691728448068496,100.0,0.00089411644426176,0.5592065231573868,0.7377499973207615,1.4648770038576349,1.4647743497698429,1.3764927336765829,2.0162512489340303,0.24999999999999994,1.1264927336765829,0.001008117051555152,6.506758598529408e-12,5.817799861786747e-15,7.007938859814795e-05,38,0.002641098936693169,True,800,4,True,continuation,9
0.8,0.5,0.24999999999999994,0.039138943248532294,20.000000000000004,1.841854694788631,100.0,0.003644024640790874,0.5773824786507059,0.9265214979206817,2.291921860059401,2.291850642095731,0.7336244314812127,1.6813576243473327,0.24999999999999994,0.48362443148121276,0.001768784840749967,1.0511258384788795e-11,3.830328455989005e-14,3.10739521396301e-05,64,0.0028282805829274366,True,800,4,True,global,8
0.8,0.5,0.24999999999999994,0.058708414872798424,29.999999999999996,1.2465017550457562,100.0,0.0057728841328937635,0.560157686067856,0.8420791334365221,2.2912003172587485,2.2921232274010563,0.6911216334771919,1.584135949052431,0.24999999999999994,0.441121633477192,0.0025613303418663197,1.019447029305297e-11,5.885149579802233e-14,-0.00040272529128205814,45,0.0024356608387852297,True,800,4,True,continuation,9
