f_corona,g_feedback,d_ratio,theta,kTe_keV,tau_T,fixed_xi,effective_albedo,eta,p_sc,A_model,A_required,l_s_over_l_c,l_h_over_l_c,intrinsic_seed_over_l_c,reprocessed_seed_over_l_c,returning_reflection_over_l_c,downward_flux_model,reflected_flux_model_hemisphere,energy_log_residual,last_scatter_order,last_difmax,converged,max_scatter,hemisphere_mu_order,exact_angles,root_method,root_iterations
1.0,1.0,0.0,0.019569471624266144,10.0,2.4986658669280937,100.0,0.00016655811598457896,0.616911987854557,0.967358256083151,1.620805100462437,1.6212467994673023,1.5296896036188194,2.4800043740454174,0.0,1.5296896036188194,0.0002548246615354797,7.942282102154752e-12,1.3228515435529367e-15,-0.00027248114541760584,102,0.002707075892262174,True,2000,8,True,global,9
1.0,1.0,0.0,0.030022062713001774,15.341274046343907,1.8368568294287195,100.0,0.0004854359305039346,0.5917008259810539,0.926059507499227,1.6913205554814563,1.6908640782006097,1.3082929382562838,2.2121455330610784,0.0,1.3082929382562838,0.0006354008462552105,7.9491264788395e-12,3.858791608948918e-15,0.0002699304343545077,71,0.00285316307218636,True,2000,8,True,continuation,6
1.0,1.0,0.0,0.04605766915166835,23.535468936502525,1.2909272665722369,100.0,0.0013048546002259237,0.5701335367779515,0.8510366210895015,1.7567274151321581,1.7562667250362745,1.1060501035910055,1.9425189931598073,0.0,1.1060501035910055,0.0014451202375409178,7.955587770132776e-12,1.0380885299358852e-14,0.0002622777494883,50,0.0027137232097782346,True,2000,8,True,continuation,8
1.0,1.0,0.0,0.07065833243915841,36.106407876409946,0.8723865456705258,100.0,0.0033394261148856678,0.5556183379145583,0.7389036994253484,1.8065520676580447,1.805827034098423,0.939454459254479,1.6964922598260537,0.0,0.939454459254479,0.0031477504349859352,7.972937480376796e-12,2.662503563432101e-14,0.00040141610220522023,36,0.0021060215490586757,True,2000,8,True,continuation,8
1.0,1.0,0.0,0.10839888416068011,55.39182980610754,0.5640150069664217,100.0,0.007980625301746508,0.548773366600521,0.5964950169268064,1.8375836394363916,1.8369055231390565,0.8093156724877845,1.486636428755811,0.0,0.8093156724877845,0.00651080543151752,8.009980260029033e-12,6.392465112967777e-14,0.00036909419243366594,26,0.001787628158941925,True,2000,8,True,continuation,10
1.0,1.0,0.0,0.16629769882268813,84.97812409839364,0.34482927207525094,100.0,0.017346074650336267,0.5484779624832683,0.44001232907008203,1.8553442236840825,1.8554114146639962,0.7104130153801923,1.318108417862278,0.0,0.7104130153801923,0.01254040398095431,8.083044756387391e-12,1.4020909774630482e-13,-3.621417655565122e-05,19,0.0014864864990524816,True,2000,8,True,continuation,9
1.0,1.0,0.0,0.25512185709152213,130.3672689737678,0.19792362551525033,100.0,0.03313838433301925,0.5520444708228119,0.2933579264911512,1.8732860953588184,1.8735341621650619,0.6368933322628034,1.193241415649506,0.0,0.6368933322628034,0.021828993603290985,8.214279543983127e-12,2.72207952547371e-13,-0.0001324145753230008,14,0.0013166178216846129,True,2000,8,True,continuation,10
1.0,1.0,0.0,0.39138943248532293,200.00000000000003,0.10727352987340347,100.0,0.05340465548441458,0.5568528530057469,0.17789256089563865,1.8966323944672785,1.8971216781732354,0.5850714881912547,1.1099518035287053,0.0,0.5850714881912547,0.033008340302579244,8.389091235779373e-12,4.480165272741192e-13,-0.00025794171119223073,10,0.0025730817623653376,True,2000,8,True,continuation,8
1.0,0.5,0.0,0.019569471624266144,10.0,3.6732761726969563,100.0,0.006324934909512624,0.5845869297773703,0.9919233744575353,3.4414118035017145,3.442995876533593,0.40903832064859474,1.4083172513373372,0.0,0.40903832064859474,0.002603608407304778,1.5980010103698084e-11,1.0107252375924445e-13,-0.0004601915323603285,136,0.002817293283443299,True,2000,8,True,global,10
1.0,0.5,0.0,0.030022062713001774,15.341274046343907,2.823603915291556,100.0,0.011268989806450877,0.5739061407219491,0.9779472546019402,3.5232444717024296,3.5246091844433067,0.3943970617031129,1.3900955059962452,0.0,0.3943970617031129,0.004495111837502226,1.6061087765651818e-11,1.8099223431164323e-13,-0.00038727045835967346,93,0.0026818241606070643,True,2000,8,True,continuation,10
1.0,0.5,0.0,0.04605766915166835,23.535468936502525,2.0061242155954306,100.0,0.01664839843198508,0.559814848198513,0.9401773194795852,3.6325634712435204,3.6330949899631313,0.3735524528836139,1.3571515450598963,0.0,0.3735524528836139,0.00632434020642777,1.615284140937359e-11,2.68918939591919e-13,-0.00014630985571290815,63,0.0026535411823621798,True,2000,8,True,continuation,9
1.0,0.5,0.0,0.07065833243915841,36.106407876409946,1.3410267074375497,100.0,0.023131059875051735,0.5465826080940674,0.8604818533764236,3.744799833265846,3.7457422167448575,0.3490541252782144,1.3074667729835558,0.0,0.3490541252782144,0.008265174108628601,1.6258322047265796e-11,3.7607222074317883e-13,-0.00025161956976993584,43,0.00255539330349486,True,2000,8,True,continuation,10
1.0,0.5,0.0,0.10839888416068011,55.39182980610754,0.8538872291421962,100.0,0.03216720338957918,0.5377593381073386,0.7321554768284682,3.841134705758749,3.842746186747168,0.32401713288888295,1.2451156018495053,0.0,0.32401713288888295,0.010769138069972262,1.6407363614251102e-11,5.277790024663961e-13,-0.00041944455792303936,30,0.00219353009503028,True,2000,8,True,continuation,9
1.0,0.5,0.0,0.16629769882268813,84.97812409839364,0.5169626461197829,100.0,0.04496740325564808,0.5343135386201883,0.5677492653927129,3.9189134884634824,3.919364205921327,0.3007624947055292,1.1787977562324536,0.0,0.3007624947055292,0.01416130551952099,1.6632332538385304e-11,7.479128043356088e-13,-0.00011500420779024534,21,0.0022871484967645138,True,2000,8,True,continuation,11
1.0,0.5,0.0,0.25512185709152213,130.3672689737678,0.2956492737725345,100.0,0.06159437971851906,0.5350516130904471,0.3954944471638735,3.981565845871631,3.983306433843422,0.2807527578210385,1.1183242665478266,0.0,0.2807527578210385,0.018427843566264424,1.6921578950104063e-11,1.0422741592896088e-12,-0.00043706614202255643,15,0.002356867214322041,True,2000,8,True,continuation,9
1.0,0.5,0.0,0.39138943248532293,200.00000000000003,0.16035663057165916,100.0,0.07964563385267238,0.537887782039008,0.24830613433375115,4.038626341417873,4.040017433613543,0.2652362735465446,1.071559169154731,0.0,0.2652362735465446,0.02295301886355558,1.7255067302978477e-11,1.374290772516243e-12,-0.0003443875601293565,11,0.0022612630332739417,True,2000,8,True,continuation,10
0.8,1.0,0.24999999999999994,0.019569471624266144,10.0,2.169221917964955,100.0,5.336944767873335e-05,0.611549853644202,0.951135194379437,1.4367456992520986,1.436761711384215,2.059384768080342,2.958845183785697,0.24999999999999994,1.8093847680803423,9.657101965274155e-05,6.9791587471051655e-12,3.724738475952033e-16,-1.1144660394708194e-05,93,0.0026962660809566404,True,2000,8,True,global,9
0.8,1.0,0.24999999999999994,0.030022062713001774,15.341274046343907,1.5648641389993025,100.0,0.00016013468490842152,0.5862468992010085,0.8955573363234011,1.463675661350435,1.4637513342845327,1.7603435381788384,2.5767052028084296,0.24999999999999994,1.5103435381788384,0.0002418971227092641,6.815798056882084e-12,1.0914456742382442e-15,-5.169928010337193e-05,65,0.0028135114252147565,True,2000,8,True,continuation,8
0.8,1.0,0.24999999999999994,0.04605766915166835,23.535468936502525,1.0862885024803068,100.0,0.0004802357032693954,0.5667377653873771,0.8046590821531148,1.471307056478458,1.471274879272815,1.5008399045536631,2.208148049380014,0.24999999999999994,1.2508399045536631,0.0006009865964615589,6.623335825559704e-12,3.180762338177046e-15,2.187004905694817e-05,46,0.0027230867659764997,True,2000,8,True,continuation,9
0.8,1.0,0.24999999999999994,0.07065833243915841,36.106407876409946,0.7266745690182759,100.0,0.0014322825129526571,0.5552328183693717,0.6802353769293394,1.4541910140885503,1.45475003910102,1.2924443499555849,1.8801834686337795,0.24999999999999994,1.0424443499555849,0.0014952163854496442,6.41339353076374e-12,9.185791402796604e-15,-0.0003843494997868861,33,0.0024806361932850156,True,2000,8,True,continuation,9
0.8,1.0,0.24999999999999994,0.10839888416068011,55.39182980610754,0.4657357756303221,100.0,0.004098963557051252,0.5516739390179232,0.5337324950589978,1.418787317075507,1.418367713914329,1.1326011407180114,1.6064448907369668,0.24999999999999994,0.8826011407180114,0.0036326399700681903,6.217146060864892e-12,2.5483855132349942e-14,0.0002957914951097568,24,0.0021680269189760064,True,2000,8,True,continuation,10
0.8,1.0,0.24999999999999994,0.16629769882268813,84.97812409839364,0.2818646803884756,100.0,0.010627511128861136,0.5545959784470713,0.3822683216507604,1.3731595279824513,1.372652440455572,1.012872163707375,1.390321447382444,0.24999999999999994,0.762872163707375,0.008194519759639748,6.049075641389569e-12,6.428661869819046e-14,0.00036935342876558884,18,0.0013462292327513987,True,2000,8,True,continuation,8
0.8,1.0,0.24999999999999994,0.25512185709152213,130.3672689737678,0.15991581706335026,100.0,0.02352324557008239,0.5609930100620036,0.2477685725704355,1.332097992463133,1.3324590076800618,0.925639865432192,1.2333771765628847,0.24999999999999994,0.6756398654321921,0.016276109389595863,5.935877480263076e-12,1.396311036421502e-13,-0.00027097579006063254,13,0.0018713325008691706,True,2000,8,True,continuation,10
0.8,1.0,0.24999999999999994,0.39138943248532293,200.00000000000003,0.08573512334385575,100.0,0.042190469806186535,0.568030274687097,0.14664459294447751,1.306881344573959,1.3069581093855938,0.8652612309393779,1.130860182513181,0.24999999999999994,0.615261230939378,0.0271015891662848,5.8965630442949565e-12,2.4877876508060173e-13,-5.873720479690389e-05,10,0.0011607638476722145,True,2000,8,True,continuation,10
0.8,0.5,0.24999999999999994,0.019569471624266144,10.0,3.152984849554605,100.0,0.0014312996336789774,0.6092508037368323,0.9851086809453936,2.249890779738393,2.2492648066905243,0.7916465285780081,1.780622676069238,0.24999999999999994,0.5416465285780081,0.0007763696955981017,1.0888018527285888e-11,1.558401692959421e-14,0.00027826246053638506,120,0.0028463498958309166,True,2000,8,True,global,10
0.8,0.5,0.24999999999999994,0.030022062713001774,15.341274046343907,2.314507877785164,100.0,0.0026805270159895563,0.5903028980887544,0.95913123893006,2.278034206754522,2.2782981177291513,0.7590489777939353,1.729339857372159,0.24999999999999994,0.5090489777939353,0.0013681869996540095,1.0681357747254905e-11,2.863166800896612e-14,-0.0001158436023230043,82,0.0026203352232168097,True,2000,8,True,continuation,8
0.8,0.5,0.24999999999999994,0.04605766915166835,23.535468936502525,1.5835207929763881,100.0,0.004395100164342459,0.5698897266560405,0.898020793157834,2.2965949253074114,2.295611482725943,0.7168412850333338,1.6455890852145416,0.24999999999999994,0.46684128503333383,0.0020608719472057025,1.0396006285151532e-11,4.569148893237474e-14,0.00042830940472638834,55,0.0029999825546409504,True,2000,8,True,continuation,10
0.8,0.5,0.24999999999999994,0.07065833243915841,36.106407876409946,1.029364674136613,100.0,0.007232879779634843,0.554224142217383,0.7891319814116396,2.2817796096242158,2.2817893076414646,0.6715698948485359,1.532381005399292,0.24999999999999994,0.42156989484853596,0.0030713792852808596,1.0045011522513723e-11,7.265436072738852e-14,-4.250189895074471e-06,38,0.002701024327548463,True,2000,8,True,continuation,11
0.8,0.5,0.24999999999999994,0.10839888416068011,55.39182980610754,0.640625817346167,100.0,0.012452628613041524,0.5461736729171195,0.6386985405036603,2.2338974677032724,2.233824226507735,0.6288225165018946,1.4046789715354921,0.24999999999999994,0.37882251650189463,0.004776820074596156,9.691372854209787e-12,1.206830669039867e-13,3.278682091526067e-05,27,0.0020497156049238707,True,2000,8,True,continuation,11
0.8,0.5,0.24999999999999994,0.16629769882268813,84.97812409839364,0.3788087448329045,100.0,0.021815371196502144,0.545383679932525,0.4684547488691002,2.1643791911359505,2.164754884273858,0.591622351634239,1.2807173753458045,0.24999999999999994,0.3416223516342391,0.007618825925570768,9.37619848404186e-12,2.045452503414539e-13,-0.00017356502815865828,19,0.002338237426707438,True,2000,8,True,continuation,8
0.8,0.5,0.24999999999999994,0.25512185709152213,130.3672689737678,0.2113595157074098,100.0,0.03682543607920362,0.5492266330830136,0.308619809212467,2.096230537861624,2.096773140136324,0.5612902867398384,1.1768983970555085,0.24999999999999994,0.3112902867398384,0.011901685307957884,9.144962666459704e-12,3.367672381204153e-13,-0.0002588131656435594,14,0.0017398519533499133,True,2000,8,True,continuation,8
0.8,0.5,0.24999999999999994,0.39138943248532293,200.00000000000003,0.11204797101487485,100.0,0.05588964168050366,0.5546941245432724,0.1845923563576919,2.0467461593437073,2.0467322315099863,0.5387108194614028,1.1025967976548101,0.24999999999999994,0.2887108194614028,0.01709116323827243,9.017971415003016e-12,5.040111910695431e-13,6.804889334411468e-06,10,0.00297997449128809,True,2000,8,True,continuation,11
0.5,1.0,1.0,0.019569471624266144,10.0,1.6080289241344548,100.0,7.870874566358802e-06,0.5907456535574456,0.901173186226466,1.1951119760463627,1.195152566943535,3.40165705737276,4.065499163980646,1.0,2.40165705737276,1.8903290235417712e-05,5.6079022879077565e-12,4.4139095488518494e-17,-3.3963518636728555e-05,78,0.0025220315388843643,True,2000,8,True,global,8
0.5,1.0,1.0,0.030022062713001774,15.341274046343907,1.12356692938946,100.0,2.3583997916134022e-05,0.5691596966653982,0.8141537918904214,1.1562683284106539,1.156148701561465,2.9241281603302633,3.3807269757651497,1.0,1.9241281603302633,4.537970475846618e-05,5.2273800211938196e-12,1.2328251952667566e-16,0.00010346477105544627,55,0.0026049871517978777,True,2000,8,True,continuation,8
0.5,1.0,1.0,0.04605766915166835,23.535468936502525,0.7626006380294676,100.0,7.989833038058383e-05,0.556213540940385,0.6959653838396971,1.089490896102448,1.0898552680482456,2.5389978904661823,2.767140226487951,1.0,1.5389978904661823,0.00012297318725983222,4.8134500293868064e-12,3.84586620718378e-16,-0.00033438648268591483,39,0.0029610609167107977,True,2000,8,True,continuation,9
0.5,1.0,1.0,0.07065833243915841,36.106407876409946,0.5020629363692031,100.0,0.00030522151639950795,0.5519844117246667,0.55818388677684,1.004028653280808,1.004164402163783,2.2427253050548175,2.2520649151679586,1.0,1.2427253050548175,0.000379422309929665,4.402143796654816e-12,1.34362900502367e-15,-0.00013519505289960308,29,0.0019813875048820904,True,2000,8,True,continuation,4
0.5,1.0,1.0,0.10839888416068011,55.39182980610754,0.3169123692528414,100.0,0.0012070945739294083,0.5553953889911678,0.41527165177107517,0.910334232270044,0.9104665796161846,2.020441003333492,1.839544009621337,1.0,1.020441003333492,0.001233257456522966,4.016006884059388e-12,4.847700118611237e-15,-0.00014537267943832337,21,0.002414646491820326,True,2000,8,True,continuation,9
