kTe_keV,theta,tau_T,density_cm3,disk_temperature_K,seed_surface_flux_cgs,ionizing_flux_model,ionizing_flux_cgs,ionization_parameter,effective_albedo,eta,p_sc,A_model,A_required,energy_log_residual,seed_flux_model,downward_flux_model,reflected_flux_model_observer,reflected_flux_model_hemisphere,observer_reflection_peak_x,last_scatter_order,last_difmax
10.0,0.019569471624266144,2.0,10000000000000.0,58022.590607750404,642688010615153.2,6.408497360239837e-12,518519511814987.9,651.5908356243727,0.0003706772657679579,0.6067190976947782,0.9397230027296379,1.3578471578054665,1.6488203824788945,-0.19415963920394078,7.943123307102427e-12,6.5437975907053575e-12,2.6842799923685343e-15,2.4256369986616125e-15,0.00023755138987921695,88,0.002853226614849055
10.0,0.019569471624266144,2.119268045334097,10000000000000.0,58022.590607750404,642688010615153.2,6.709765060713578e-12,542895457094213.44,682.2225518697815,0.0005649180985031527,0.610262915687158,0.9480222002340039,1.4126241794122103,1.639564213540171,-0.14898138827195218,7.943123307102427e-12,6.8475453910267544e-12,4.279922377036427e-15,3.868302321712861e-15,0.00023755138987921695,91,0.0029471323575075256
10.0,0.019569471624266144,2.2456485239871014,10000000000000.0,58022.590607750404,642688010615153.2,7.046216789781189e-12,570118185995972.2,716.4316419211543,0.0008665258192744078,0.613285578821007,0.9555271247123295,1.475259613886653,1.6319758883969975,-0.10095749844760568,7.943123307102427e-12,7.186584072048144e-12,6.8879397857929556e-15,6.227360650815928e-15,0.00023755138987921695,95,0.0027278109846902445
10.0,0.019569471624266144,2.379565578968772,10000000000000.0,58022.590607750404,642688010615153.2,7.428178054068895e-12,601023148135690.6,755.2679627281983,0.001338453931333535,0.6156221705527082,0.9622600195067915,1.5483572203697575,1.6265500101990336,-0.049266702524996424,7.943123307102427e-12,7.571409226194589e-12,1.1203838260716248e-14,1.0133982444535145e-14,0.00023755138987921695,98,0.002962318034502751
10.0,0.019569471624266144,2.449489742783178,10000000000000.0,58022.590607750404,642688010615153.2,7.640563082597184e-12,618207485604962.6,776.8624380683073,0.0016679631161752395,0.6164718340541577,0.9653457854469543,1.5899299009232535,1.6248443067997964,-0.021722072200782074,7.943123307102427e-12,7.785428496288137e-12,1.4352205980123347e-14,1.2985807575428271e-14,0.00023755138987921695,100,0.0029266901684333077
10.0,0.019569471624266144,2.485218619498239,10000000000000.0,58022.590607750404,642688010615153.2,7.753072276477913e-12,627310744763292.1,788.30193090652,0.0018632232588330878,0.6168047384358771,0.966820284676113,1.6122185849287767,1.6242850271882943,-0.007456502209088479,7.943123307102427e-12,7.898832948610401e-12,1.626284707551266e-14,1.471728926748804e-14,0.00023755138987921695,101,0.0029178034693767125
10.0,0.019569471624266144,2.503278016744749,10000000000000.0,58022.590607750404,642688010615153.2,7.811050045490761e-12,632001798343368.6,794.1968826924259,0.001969598257434855,0.6169465047941648,0.967540680958761,1.6237755642466913,1.62408487193683,-0.00019046858518161622,7.943123307102427e-12,7.957283186815153e-12,1.7316782813493965e-14,1.5672651098666794e-14,0.00023755138987921695,102,0.002748260768957278
10.0,0.019569471624266144,2.5214686466427243,10000000000000.0,58022.590607750404,642688010615153.2,7.870233949084361e-12,636790441776235.9,800.2144695041686,0.0020822275448365997,0.6170712159686338,0.9682499378193025,1.6356220419183476,1.6239399056883148,0.007167948599400967,7.943123307102427e-12,8.0169568803605e-12,1.8442329738076115e-14,1.669312844205393e-14,0.00023755138987921695,102,0.002914660261712112
10.0,0.019569471624266144,2.671833965070868,10000000000000.0,58022.590607750404,642688010615153.2,8.393467778901752e-12,679125943337844.6,853.4148297809643,0.00326014517107624,0.6173882076431881,0.9735320965613141,1.742465957847996,1.6250242490238505,0.06977858892947164,7.943123307102427e-12,8.545036785548415e-12,3.074254400386767e-14,2.7858060413074498e-14,0.00023755138987921695,106,0.002957666676771218
10.0,0.019569471624266144,2.831166172306494,10000000000000.0,58022.590607750404,642688010615153.2,9.02917541663855e-12,730561840935531.6,918.0510849904404,0.005124878461171728,0.616280315092115,0.9781470762313007,1.877041864162757,1.6309968913826116,0.14050564343930905,7.943123307102427e-12,9.188477566340935e-12,5.18718304274753e-14,4.708983077070027e-14,0.00023755138987921695,111,0.0027865629348660936
10.0,0.019569471624266144,3.0,10000000000000.0,58022.590607750404,642688010615153.2,9.825161185617386e-12,794966041973875.6,998.9837909273932,0.008043922644950149,0.6134076797845824,0.9821398929136764,2.052049184798723,1.6434570111523197,0.22203693933075452,7.943123307102427e-12,9.99834871036115e-12,8.833905864367933e-14,8.042594360338218e-14,0.00023755138987921695,116,0.002733115790675825
10.0,0.019569471624266144,2.0,1000000000000000.0,58022.590607750404,642688010615153.2,6.408497360239837e-12,518519511814987.9,6.515908356243727,1.519316201851778e-05,0.6067190976947782,0.9397230027296379,1.3578471578054665,1.6482342441376903,-0.19380408649780886,7.943123307102427e-12,6.5437975907053575e-12,1.1057880712094312e-16,9.94209770119728e-17,0.00023755138987921695,88,0.002853226614849055
10.0,0.019569471624266144,2.119268045334097,1000000000000000.0,58022.590607750404,642688010615153.2,6.709765060713578e-12,542895457094213.44,6.822225518697815,2.5189818713331212e-05,0.610262915687158,0.9480222002340039,1.4126241794122103,1.6386792720760768,-0.148441500683082,7.943123307102427e-12,6.8475453910267544e-12,1.919701980900154e-16,1.7248842703127064e-16,0.00023755138987921695,91,0.0029471323575075256
10.0,0.019569471624266144,2.2456485239871014,1000000000000000.0,58022.590607750404,642688010615153.2,7.046216789781189e-12,570118185995972.2,7.164316419211543,4.278574387365716e-05,0.613285578821007,0.9555271247123295,1.475259613886653,1.6306315069352764,-0.10013338363702035,7.943123307102427e-12,7.186584072048144e-12,3.42414809754009e-16,3.0748334543315604e-16,0.00023755138987921695,95,0.0027278109846902445
10.0,0.019569471624266144,2.379565578968772,1000000000000000.0,58022.590607750404,642688010615153.2,7.428178054068895e-12,601023148135690.6,7.552679627281983,7.411452932208516e-05,0.6156221705527082,0.9622600195067915,1.5483572203697575,1.6244933465031348,-0.04800146934007422,7.943123307102427e-12,7.571409226194589e-12,6.25229641958699e-16,5.61151431104305e-16,0.00023755138987921695,98,0.002962318034502751
10.0,0.019569471624266144,2.449489742783178,1000000000000000.0,58022.590607750404,642688010615153.2,7.640563082597184e-12,618207485604962.6,7.768624380683073,9.816409624345909e-05,0.6164718340541577,0.9653457854469543,1.5899299009232535,1.62229337738976,-0.020150885400030443,7.943123307102427e-12,7.785428496288137e-12,8.517232450393154e-16,7.642495522061977e-16,0.00023755138987921695,100,0.0029266901684333077
10.0,0.019569471624266144,2.485218619498239,1000000000000000.0,58022.590607750404,642688010615153.2,7.753072276477913e-12,627310744763292.1,7.883019309065201,0.00011312672981077743,0.6168047384358771,0.966820284676113,1.6122185849287767,1.621442049983355,-0.005704674119781235,7.943123307102427e-12,7.898832948610401e-12,9.959561617414625e-16,8.935691407979153e-16,0.00023755138987921695,101,0.0029178034693767125
10.0,0.019569471624266144,2.4942319733727003,1000000000000000.0,58022.590607750404,642688010615153.2,7.781913911918082e-12,629644357447783.0,7.912344350928883,0.00011725055128014918,0.6168777039263289,0.9671818798045076,1.6179618765518766,1.6212569492056468,-0.002034486688044167,7.943123307102427e-12,7.927909107877653e-12,1.0360905914531225e-15,9.295517133975704e-16,0.00023755138987921695,102,0.0026678644357667394
10.0,0.019569471624266144,2.498750901471724,1000000000000000.0,58022.590607750404,642688010615153.2,7.796444601234166e-12,630820053637853.5,7.927118584983199,0.00011935469364218943,0.6169126348195832,0.9673616290617724,1.6208597474521527,1.621168561790555,-0.00019050687401818794,7.943123307102427e-12,7.94255821324374e-12,1.0566471315817226e-15,9.479816022769622e-16,0.00023755138987921695,102,0.0027078315551195683
10.0,0.019569471624266144,2.503278016744749,1000000000000000.0,58022.590607750404,642688010615153.2,7.811050045490761e-12,632001798343368.6,7.941968826924259,0.00012149801873542838,0.6169465047941648,0.967540680958761,1.6237755642466913,1.6210830355801655,0.0016595664813503722,7.943123307102427e-12,7.957283186815153e-12,1.0776306764717614e-15,9.667941417147767e-16,0.00023755138987921695,102,0.002748260768957278
10.0,0.019569471624266144,2.5214686466427243,1000000000000000.0,58022.590607750404,642688010615153.2,7.870233949084361e-12,636790441776235.9,8.002144695041686,0.00013047817539495933,0.6170712159686338,0.9682499378193025,1.6356220419183476,1.6207699683937422,0.00912186030559155,7.943123307102427e-12,8.0169568803605e-12,1.1660210446976503e-15,1.0460379059695035e-15,0.00023755138987921695,102,0.002914660261712112
10.0,0.019569471624266144,2.671833965070868,1000000000000000.0,58022.590607750404,642688010615153.2,8.393467778901752e-12,679125943337844.6,8.534148297809644,0.00023257942080962568,0.6173882076431881,0.9735320965613141,1.742465957847996,1.620103236737966,0.0728114534807355,7.943123307102427e-12,8.545036785548415e-12,2.2162272283741654e-15,1.9873997063797958e-15,0.00023755138987921695,106,0.002957666676771218
