quantity,n_points,min,median,max
effective_albedo_reflect,104,4.051423893404813e-09,0.002154799445494845,0.25643681036380245
effective_albedo_ireflect_n1e13,104,6.7904065977112505e-09,0.0159575187342628,0.31928994124799
effective_albedo_ireflect_n1e15,104,4.670037460393771e-09,0.0022776989779074125,0.2752752730974044
ireflect_n1e13_over_reflect,104,1.0207082864300774,2.8457127549268932,28.54328172674599
ireflect_n1e15_over_reflect,104,1.0048842483726843,1.068459758131061,1.356916485303932
