generation,input_energy,unscattered_up_energy,compton_up_energy,compton_down_energy,upward_escape_energy,reflected_energy,absorbed_blackbody_energy,returned_feedback_energy,coronal_gain_energy,disk_energy_residual,last_scatter_order,last_difmax,tau_T
1,0.9999999999999999,0.03263269928819293,0.6209742934183642,0.9999977298751146,0.6536069927065571,0.00010727850979298797,0.9998904513653216,0.9999977298751147,0.6536047225816718,1.1102230246251565e-16,102,0.002723433445559136,2.4988928864685045
2,0.9999977298751147,0.03263348503218833,0.6209500405711206,0.9999635397578206,0.6535835256033089,0.00011554097284216362,0.9998479987849784,0.9999635397578206,0.6535493354860148,0.0,99,0.0029308970511754905,2.4988928864685045
3,0.9999635397578206,0.03263247934276432,0.6209267200531122,0.9999261895044349,0.6535591993958766,0.00011652838488213753,0.9998096611195527,0.9999261895044349,0.6535218491424908,0.0,99,0.0028253361867288255,2.4988928864685045
4,0.9999261895044349,0.03263127541376878,0.6209032663896068,0.9998884382612998,0.6535345418033756,0.00011665236742196058,0.9997717858938778,0.9998884382612998,0.6534967905602405,0.0,99,0.002808923515718786,2.4988928864685045
5,0.9998884382612998,0.03263004547983656,0.6208797905431365,0.9998506352550565,0.6535098360229731,0.00011666495556043444,0.9997339702994961,0.9998506352550565,0.6534720330167298,0.0,99,0.0028065033907737594,2.4988928864685045
6,0.9998506352550565,0.032628812102484736,0.6208563122426709,0.9998128265735624,0.6534851243451556,0.00011666281372700046,0.9996961637598354,0.9998128265735624,0.6534473156636615,0.0,99,0.002806161413663131,2.4988928864685045
7,0.9998128265735624,0.032627578302768204,0.6208328343672026,0.9997750183694057,0.6534604126699708,0.0001166587062392047,0.9996583596631665,0.9997750183694059,0.6534226044658142,1.1102230246251565e-16,99,0.0028061142710040033,2.4988928864685045
8,0.9997750183694059,0.0326263444866592,0.6208093573165292,0.9997372114671301,0.6534357018031884,0.0001166543355617276,0.9996205571315684,0.9997372114671301,0.6533978949009127,0.0,99,0.0028061078558897752,2.4988928864685045
9,0.9997372114671301,0.03262511070873255,0.6207858811451287,0.9996994059773656,0.6534109918538612,0.00011664992971033705,0.9995827560476552,0.9996994059773656,0.6533731863640968,0.0,99,0.002806106988561776,2.4988928864685045
10,0.9996994059773656,0.0326238769763227,0.6207624058603414,0.9996616019149247,0.6533862828366641,0.00011664551927964578,0.999544956395645,0.9996616019149247,0.6533484787742232,0.0,99,0.002806106871667363,2.4988928864685045
11,0.9996616019149247,0.03262264329041389,0.6207389314631274,0.9996237992817507,0.6533615747535413,0.00011664110837815661,0.9995071581733725,0.9996237992817508,0.6533237721203673,1.1102230246251565e-16,99,0.002806106855936663,2.4988928864685045
12,0.9996237992817508,0.03262140965113687,0.6207154579535874,0.9995859980780577,0.6533368676047243,0.00011663669755779913,0.9994693613804999,0.9995859980780578,0.6532990664010313,1.1102230246251565e-16,99,0.0028061068538212733,2.4988928864685045
13,0.9995859980780578,0.03262017605850768,0.620691985331705,0.9995481983038281,0.6533121613902126,0.00011663228689272699,0.9994315660169354,0.9995481983038282,0.653274361615983,1.1102230246251565e-16,99,0.002806106853536902,2.4988928864685045
14,0.9995481983038282,0.03261894251252696,0.6206685135974499,0.9995103999590127,0.6532874561099768,0.00011662787639289914,0.9993937720826198,0.9995103999590128,0.6532496577651613,1.1102230246251565e-16,99,0.002806106853498678,2.4988928864685045
15,0.9995103999590128,0.032617709013193275,0.6206450427507884,0.9994726030435576,0.6532627517639816,0.0001166234660596483,0.9993559795774979,0.9994726030435575,0.6532249548485264,-1.1102230246251565e-16,99,0.0028061068534935385,2.4988928864685045
16,0.9994726030435575,0.032616475560504864,0.6206215727916866,0.9994348075574085,0.6532380483521915,0.00011661905589314817,0.9993181885015154,0.9994348075574087,0.6532002528660426,1.1102230246251565e-16,99,0.002806106853492851,2.4988928864685045
17,0.9994348075574087,0.03261524215446,0.6205981037201118,0.9993970135005126,0.6532133458745718,0.00011661464589341662,0.9992803988546192,0.9993970135005126,0.6531755518176758,0.0,99,0.002806106853492756,2.4988928864685045
18,0.9993970135005126,0.03261400879505692,0.6205746355360299,0.9993592208728148,0.6531886443310868,0.00011661023606045062,0.9992426106367543,0.9993592208728148,0.653150851703389,0.0,99,0.0028061068534927453,2.4988928864685045
19,0.9993592208728148,0.032612775482293854,0.6205511682394075,0.999321429674262,0.6531639437217014,0.00011660582639424431,0.9992048238478677,0.9993214296742621,0.6531261525231487,1.1102230246251565e-16,99,0.002806106853492744,2.4988928864685045
20,0.9993214296742621,0.032611542216169055,0.6205277018302109,0.9992836399047993,0.6531392440463799,0.0001166014168947914,0.9991670384879044,0.9992836399047993,0.6531014542769171,0.0,99,0.0028061068534927435,2.4988928864685045
21,0.9992836399047993,0.03261030899668073,0.6205042363084068,0.999245851564373,0.6531145453050875,0.00011659700756208556,0.9991292545568109,0.999245851564373,0.6530767569646612,0.0,99,0.002806106853492743,2.4988928864685045
22,0.999245851564373,0.03260907582382713,0.6204807716739615,0.9992080646529289,0.6530898474977886,0.00011659259839612055,0.9990914720545327,0.9992080646529289,0.6530520605863446,0.0,99,0.002806106853492743,2.4988928864685045
23,0.9992080646529289,0.03260784269760649,0.6204573079268412,0.9991702791704133,0.6530651506244477,0.00011658818939689006,0.9990536909810165,0.9991702791704133,0.6530273651419323,0.0,99,0.002806106853492743,2.4988928864685045
