model,f_corona,g_feedback,d_ratio,theta,kTe_keV,tau_T,l_diss_local,fixed_xi,effective_albedo,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_h_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,returning_reflection_over_l_diss,downward_flux_model,reflected_flux_model_hemisphere,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,last_scatter_order,last_difmax,converged,max_scatter,hemisphere_mu_order,exact_angles,root_method,root_iterations
compPSc-fg,1.0,0.05,0.0,0.019569471624266144,10.0,4.972185256410709,2.0009400700450148e+20,100.0,0.0684915241205637,0.5124399489397158,0.99818714917238,34.82187100392389,41.89866693375692,0.024493543605393443,1.0262468255498316,0.0,0.024493543605393443,0.0018009499388216119,1.4173802798579376e-10,9.707853562590126e-12,2.6016337415523833e-06,1.0416320137149847e+35,-0.18500834450287068,186,0.002982841375257757,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.022373075687865465,11.432641676499253,4.841861429072338,2.900699825990499e+17,100.0,0.08384256041043896,0.5115089322121358,0.9978975634446677,39.244373295494974,42.67825569888414,0.024044799255779264,1.0261900908664865,0.0,0.024044799255779264,0.0022004706255102932,1.5944904577932836e-10,1.3368616253140183e-11,1.172970807328944,9.869446141757377e+34,-0.0838814778893885,168,0.002936370146491678,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.025578335754056297,13.070529570322767,4.683346607726422,1060603727317082.9,100.0,0.09843378100895576,0.5110617158372339,0.9974811366861178,42.49868185545521,43.40692453147852,0.023640361521538124,1.0261553884622743,0.0,0.023640361521538124,0.0025810751556195376,1.7252026371293047e-10,1.6981821857925895e-11,82001.39801923005,9.224175444895285e+34,-0.021145919512310263,151,0.002899174393986143,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.028757461816806225,14.695062988387981,4.476817996815459,17324495806099.459,100.0,0.10668390626666185,0.5117586870900983,0.9968099163925348,40.56015428741204,43.748142084789485,0.02345639968892209,1.0261739063885755,0.0,0.02345639968892209,0.0028012708640546584,1.6487550029284268e-10,1.758956241891061e-11,280498767.5733706,8.418838256116929e+34,-0.07566298206253728,136,0.0028231123853226306,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.03287737564771548,16.80033895598261,4.254569984205204,262835288455.0997,100.0,0.11771975336913248,0.5118844577878543,0.9958820813823617,41.243863697935105,44.284474587490145,0.023171901904382432,1.0261555010284382,0.0,0.023171901904382432,0.0030917507081158727,1.6769595642979218e-10,1.9741126631915923e-11,1098834728776.046,7.591012802318564e+34,-0.07113181196929594,121,0.002827897545178802,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.037587525504399366,19.207225532748076,4.035150378227384,6708722420.0957,100.0,0.12916532274844816,0.5116457896934207,0.9946953386120415,43.58170538506326,44.88744400235212,0.0228596446775554,1.0261110203774346,0.0,0.0228596446775554,0.00339062448915131,1.7711890951814962e-10,2.2877621112764983e-11,1513909703831688.0,6.813646820026037e+34,-0.029520651002741132,108,0.0028304672704265567,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.042972471059807484,21.958932711561623,3.7774754578898544,300262586.71794,100.0,0.13749413420077686,0.5117194282060595,0.992846401238109,44.23395118699283,45.31437896899604,0.022643255680799803,1.0260650690116346,0.0,0.022643255680799803,0.003609615840042435,1.797955525558851e-10,2.4720833831821696e-11,6.60504483311647e+17,5.954951286368544e+34,-0.024131778029044263,96,0.002791149311561586,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.048313510603607224,24.688203918443293,3.533177883106432,28879870.6837872,100.0,0.1429001436362405,0.5118290730045544,0.9904844648094245,44.25073073790523,45.59042305245909,0.022504883626231282,1.0260071652662437,0.0,0.022504883626231282,0.0037521311884813266,1.7990229450792342e-10,2.57080637256715e-11,6.227525849962431e+19,5.194048821092495e+34,-0.029825788514930056,86,0.0028820198642952577,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.055235105486478836,28.225138903590686,3.2659416975138496,2681352.06688634,100.0,0.14920529478729483,0.511615901931191,0.9869697520894444,45.83362067933055,45.947425528075385,0.022327723576663537,1.025901416250201,0.0,0.022327723576663537,0.003915650341703099,1.86259959991651e-10,2.779097223762403e-11,6.146471113366822e+21,4.419096931963949e+34,-0.0024799217653882987,77,0.002645861797997472,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,1.0,0.05,0.0,0.06314831689905508,32.268789935417146,2.9676559325488974,368285.2609286469,100.0,0.15203706276445222,0.5116532864550787,0.9814350756597188,45.361360344176944,46.097498313470936,0.022251844349981693,1.0257543573948988,0.0,0.022251844349981693,0.003989685052854176,1.8435424517696203e-10,2.802867794486299e-11,2.6756269895616572e+23,3.6290608051438615e+34,-0.016098033090255495,68,0.0026231071451290355,True,4000,8,True,input_equilibrium_curve,0
