theta,kTe_keV,tau_T,l_diss_local,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_c_over_l_diss,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,root_method
0.020000000000000004,10.220000000000002,2.3788222487065687,1.7587236181700481e+25,0.5795639807803459,0.9622257220569078,2.1558338271657123,2.156793799222917,1.0482052326191396,2.2607625460259757,7.707211344787905e-17,2.383924296511211e+34,-0.00044519126445602706,global
0.02166221454872082,11.06939163439634,2.30192768279565,1.1118423691757454e+23,0.5782078777572328,0.9584970207385061,2.162584509479664,2.161852247410622,1.0376339762709197,2.243211343590908,1.804920756134125e-12,2.231231223531018e+34,0.00033866240493595694,continuation
0.0234625769577406,11.989376825405447,2.220941050053761,1.1108855145346194e+21,0.5767244961492088,0.9541536736781377,2.1674540534344704,2.167412704586425,1.025935008644889,2.223624571816916,1.6821144536854434e-08,2.0758413090830617e+34,1.9077332870840386e-05,continuation
0.02541256879622253,12.985822654869713,2.1378806908034176,1.6851937627346164e+19,0.5750719124549495,0.949204853250827,2.174277651712744,2.1736411967397617,1.0130325316468833,2.2019692444252423,6.768726126354964e-05,1.9222356535824666e+34,0.0002927630435210774,continuation
0.027524625874895018,14.065083822071355,2.051849816642582,3.794535521480081e+17,0.5732995862351908,0.943488125743772,2.180184061275662,2.1803608968369272,0.9990002608214307,2.178181104624939,0.12288186563387066,1.7693145206743212e+34,-8.110709237537049e-05,continuation
0.02981221755376242,15.234043169972598,1.9647565835804477,1.2209745934018056e+16,0.5713813547129853,0.9370123390900492,2.1886957944072667,2.1876807664259474,0.9838497690107798,2.1523492167174942,108.7276201374828,1.62088848225314e+34,0.0004638668475669338,continuation
0.03228993264113712,16.500155579621072,1.8751883836767949,551768956666397.0,0.569380594140586,0.9295371118039896,2.1955153238490364,2.195368112056453,0.9676357555936882,2.124316681916035,48447.57823955314,1.4749815853146512e+34,6.705338221209258e-05,continuation
0.034973572431802796,17.87149551265123,1.785004971502974,33723601247569.11,0.5672799933051377,0.921064750613044,2.2039896458407613,2.2034974170640806,0.9504199384327638,2.094247879462798,11738134.897613112,1.3349561094141275e+34,0.00022336028294665542,continuation
0.037880251477647016,19.356808505077627,1.6935847112184201,2727533432624.676,0.5651235678065534,0.9113758342357718,2.2114221044976,2.2119056277403133,0.9322394007847741,2.062025576997099,1613142632.984789,1.2000875613212057e+34,-0.00021862420056058588,continuation
0.041028506733414426,20.965566940774774,1.60262824884468,281028870803.607,0.562909421773233,0.9004843949620785,2.2207722240418977,2.2206059299244774,0.9132416453187336,2.027949813048766,135856793781.15497,1.0729592736677888e+34,7.488401650708168e-05,continuation
0.044438415773643006,22.708030460331578,1.5115817197136436,36085253690.84433,0.5606844711022942,0.8881556866977054,2.2292091287625926,2.229417906906759,0.8934767542002358,1.9919330752189341,7317014530249.529,9.527817792284324e+33,-9.365131581918278e-05,continuation
0.04813172483469571,24.59531139052951,1.4219647922110419,5573153777.583425,0.5584596921019271,0.874428826034338,2.2392387595866645,2.2382994111808814,0.8731615964087508,1.9543970871074654,270892426073424.3,8.413930409960343e+33,0.00041958254010968825,continuation
0.05213198749845863,26.639445611712365,1.3332728150224165,1017328126.8440236,0.5562832647739732,0.8590662439052581,2.2478346309701105,2.2470566331127992,0.8523522757866401,1.9152838350551593,7129996155641410.0,7.379235992228646e+33,0.0003461698267528714,continuation
0.05646471490214215,28.85346931499464,1.2460118515058503,215963734.52015138,0.5541865587262059,0.8419778702819246,2.254540788718688,2.2555581334796653,0.8311959160640114,1.8748107089932622,1.3780012175905242e+17,6.427043790606249e+33,-0.000451140782400453,continuation
0.06115753843212785,31.251502138817333,1.1621685089500167,51349491.02041987,0.5521739425173409,0.8234503345465896,2.263990807486588,2.2637794067233514,0.810066542334903,1.8338119566133437,2.1137119484142705e+18,5.57337273626537e+33,9.337963429626388e-05,continuation
0.06624038593941962,33.84883721504343,1.0804110113458834,13674830.022657346,0.5503013007321423,0.8031103713286339,2.2704681609692474,2.2714829100657243,0.7888955405120389,1.7919627381001586,2.5663847232048472e+19,4.799164484120859e+33,-0.0004468340136167613,continuation
0.07174567260048893,36.66203869884985,1.002426828357371,4009120.26496455,0.5485704952953828,0.7813237494779468,2.278466115157447,2.2786497099646708,0.7680520910178283,1.7501216744355335,2.5595871856376322e+20,4.114036078136413e+33,-8.05750015441934e-05,continuation
0.0777085076407036,39.70904740439954,0.9276298934881052,1284969.8526936364,0.5470148791681583,0.7579361923820158,2.284978503390551,2.285129797384792,0.7475464272767532,1.7082406158986523,2.123432041911992e+21,3.506099554842315e+33,-6.621024463266276e-05,continuation
0.08416691823869163,43.00929521997143,0.8564418240723367,447162.0825877355,0.5456462713525362,0.7331036535963046,2.2908276288554017,2.2908614346461618,0.7275468840554199,1.666709098579544,1.4864693764015499e+22,2.9722539081809164e+33,-1.4756911825404694e-05,continuation
0.09116209203955908,46.583829032214695,0.7889002211718282,167031.0592331082,0.5444761818058996,0.7069139778750679,2.295750315723009,2.2957845389196705,0.7081440484418127,1.6257461577406958,8.983006763934082e+22,2.5062027207561346e+33,-1.4907083467969781e-05,continuation
0.09873863982355816,50.45544494983822,0.7252538933692239,66506.0620130372,0.5435054390476992,0.679587619723037,2.300806793796708,2.2998849877016543,0.6894647550639974,1.5856896397210858,4.7548600882821195e+23,2.1031013795308625e+33,0.00040072500013857947,continuation
0.10694488000533935,54.64883368272841,0.6649920214713934,28180.377853299455,0.5427522805642572,0.651047441517871,2.303325968033069,2.3030764581964953,0.6714711969375661,1.5464495060239312,2.2085625211976927e+24,1.7538939177058214e+33,0.00010833175816191372,continuation
0.11583314677814321,59.19073800363119,0.608536428853785,12552.035777264953,0.5421997251199359,0.6216671075925482,2.3059094493244947,2.305423522159656,0.6543048255459785,1.508449735476269,9.237207600179355e+24,1.455355331250156e+33,0.00021075345009441293,continuation
0.1254601238680804,64.11012329658908,0.555411801011576,5895.29045262935,0.5418611051165778,0.5914067993344199,2.305951352713743,2.3068642281144554,0.637915504858539,1.4715844587177365,3.4524339740714957e+25,1.199874422759794e+33,-0.0003957996571221273,continuation
0.1358872060269724,69.43836227978291,0.5060927418139924,2878.0986122114978,0.5416992906637227,0.5607849422484521,2.3075692923283744,2.3075533262530663,0.6224432565754701,1.4363210071145167,1.1887605859668915e+26,9.847040803537958e+32,6.9190253987407855e-06,continuation
0.14718089056912526,75.20943508082301,0.4600936003581176,1465.8795493280659,0.5417212065416107,0.5297865355779026,2.308233984518004,2.30745997185544,0.6078189332628974,1.4025178586400084,3.738129414629728e+26,8.032503151556388e+32,0.00033538301158406424,continuation
0.15941320144900964,81.46014594044394,0.4171772826022177,774.3699115662193,0.5419216714220157,0.4985187869180998,2.3068651999064445,2.3066064081179283,0.59401544016293,1.3701598208008061,1.0852481344615782e+27,6.507676980560791e+32,0.00011218960937690681,continuation
0.17266214858434498,88.23035792660029,0.37751906636510657,422.3851184822344,0.5422632604989376,0.46740628606785517,2.3062256062427853,2.3051534025186813,0.5810927937746693,1.3395080307487652,2.9384774396226293e+27,5.24251374885751e+32,0.00046502520889673063,continuation
0.18701222535385967,95.5632471558223,0.34073402573125394,237.99045386397165,0.5427505738596351,0.4364580707815878,2.3037552054344816,2.3030837003283797,0.5689864452387908,1.3104234077372454,7.403512116475353e+27,4.193308997318367e+32,0.00029152532771126513,continuation
