kTe_keV,theta,tau_T,fixed_xi,eta,p_sc,A_model,effective_albedo_ireflect_xi100,downward_flux_model,last_scatter_order,last_difmax,converged,max_scatter,convergence_tolerance,tbb_keV,disk_temperature_K,hemisphere_mu_order,observer_mu,exact_angles
10.0,0.019569471624266144,0.03,100.0,0.233924494402869,0.05635769636840826,0.06036422203479529,8.547302481681615e-09,2.33924494402869e-13,20,0.0014004206526502553,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.04418889799794311,100.0,0.3367208876104255,0.08087083487279823,0.08678542326062938,9.747889496183483e-09,3.367208876104255e-13,22,0.0010419143622946848,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.06508862354242069,100.0,0.4810312060832685,0.11497741240455339,0.12371693167510525,1.168155144026174e-08,4.810312060832685e-13,24,0.0012145161179424736,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.09587315155141828,100.0,0.49121556359375573,0.16160153004164324,0.17453204113393428,1.490596300831216e-08,6.809866383439254e-13,26,0.002006451773336004,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.1412176304882321,100.0,0.4939335008520183,0.2239489092766248,0.24311550053412573,2.0569058393729418e-08,9.538332046484023e-13,29,0.00202571112977048,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.20800838230519034,100.0,0.4981711136934548,0.3048936372816544,0.3333821056325147,3.132088304419133e-08,1.3192045217091581e-12,33,0.0016431267639984257,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.30638870628004045,100.0,0.5048210091527683,0.40561919070087504,0.44815038406390767,5.40931272372614e-08,1.7970182929942511e-12,37,0.0022858881209700897,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.4512993096510154,100.0,0.5152435588940064,0.5236063361835086,0.587581424807646,1.0962692341596323e-07,2.4047610765515935e-12,43,0.002057589361863015,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.6647473053570288,100.0,0.5310528675404459,0.6509514592039516,0.7484860288839121,2.7247378528555833e-07,3.1572775462647915e-12,50,0.0025027529239254258,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.9791483623609764,100.0,0.553522183272879,0.7743365475205322,0.9268652400956205,8.978958891231423e-07,4.075143725049741e-12,60,0.0024470334501014916,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,1.4422495703074076,100.0,0.5821834830825093,0.8776914889903329,1.1289471752094278,4.497579978779821e-06,5.220652732847398e-12,73,0.0027037009267390686,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,2.124380638329711,100.0,0.6104000671977619,0.9483500962591591,1.4150579929350589,4.5712046285478677e-05,6.860884623347609e-12,92,0.0026128958875493357,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,3.1291346445318973,100.0,0.6099969610897172,0.984681551386669,2.2160697664749858,0.0013293462861350455,1.073748090900893e-11,119,0.002927000181424097,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,4.609100387635,100.0,0.526236459376617,0.9972582668325466,14.696443021445727,0.04303771382736762,6.143055992522666e-11,170,0.002870812015731959,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,6.789035563049437,100.0,0.5000113704229686,0.9997634246737808,110702.2902109836,0.19781461890787932,4.396709690246411e-07,453,0.0029867613300659773,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,10.0,100.0,0.49999999999998895,0.999992896996593,4.756719056853053e+68,0.20515055024557957,1.8891603002913463e+57,1999,0.07179890404433395,False,2000,0.0032,0.005,58022.590607750404,8,0.5,True
12.210553000675684,0.023895407046332064,0.03,100.0,0.24280659606369592,0.05635746321318191,0.0615384003941597,1.8798002888424587e-08,2.428065960636959e-13,19,0.0011243622328168245,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
12.210553000675684,0.023895407046332064,0.04418889799794311,100.0,0.34966956831552,0.08087050782631255,0.08852308961995389,2.1629426374718335e-08,3.4966956831551997e-13,20,0.0025010857081663356,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
12.210553000675684,0.023895407046332064,0.06508862354242069,100.0,0.4982636918656147,0.11497696088750764,0.12629344775420162,2.6243173919357922e-08,4.9984041163822e-13,22,0.0022738091503653204,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
