tau_T,p_sc_kTe_10,p_sc_kTe_12p2106,p_sc_kTe_14p9098,p_sc_kTe_18p2056,p_sc_kTe_22p2301,p_sc_kTe_27p1442,p_sc_kTe_33p1445,p_sc_kTe_40p4713,p_sc_kTe_49p4177,p_sc_kTe_60p3418,p_sc_kTe_73p6806,p_sc_kTe_89p9681,p_sc_kTe_109p856,p_sc_kTe_134p14,p_sc_kTe_163p793,p_sc_kTe_200
0.03,0.05635769636840826,0.05635746321318191,0.05635718293471403,0.05635684712216171,0.05635644636566162,0.056355970365635,0.05635540816392148,0.05635474853078892,0.05635398053144458,0.05635309426750346,0.05635208172789552,0.05635093764581056,0.05634965995893404,0.05634824969721419,0.05634670955537791,0.05634504077739533
0.04418889799794311,0.08087083487279823,0.08087050782631255,0.08087011468005434,0.08086964363610005,0.08086908149518202,0.08086841380999965,0.08086762520942559,0.08086669994134887,0.08086562266731334,0.08086437950256409,0.08086295920960695,0.08086135440024689,0.08085956218116108,0.08085758399647891,0.08085542362544063,0.08085308281220016
0.06508862354242069,0.1149774124045534,0.1149769608875076,0.1149764181136667,0.114975767794861,0.1149749917082007,0.1149740699077292,0.1149729811719982,0.1149717037534987,0.1149702164757114,0.1149685001689693,0.1149665393182658,0.1149643237227769,0.1149618493871403,0.1149591183041296,0.114956135690233,0.114952903952127
0.09587315155141828,0.1616015300416432,0.1616009186846492,0.1616001837651606,0.1615993032287601,0.1615982524013468,0.1615970042756951,0.1615955301174494,0.1615938004798295,0.1615917866890156,0.1615894627882917,0.1615868077691707,0.1615838078184024,0.1615804575247801,0.1615767595848984,0.1615727210600821,0.1615683452068336
0.1412176304882321,0.2239489092766248,0.2239481018736545,0.2239471312846134,0.2239459683825866,0.2239445805808075,0.223942932211071,0.2239409853240097,0.2239387010291386,0.2239360414565128,0.2239329723242625,0.2239294658851562,0.2239255038941621,0.2239210792022708,0.2239161953679203,0.223910861713585,0.2239050825362462
0.2080083823051903,0.3048936372816544,0.3048926074609765,0.3048913695002083,0.3048898862483326,0.3048881161411905,0.3048860136840684,0.3048835304723471,0.3048806169005996,0.3048772246645405,0.3048733100357668,0.30486883761997,0.3048637841419846,0.3048581404787034,0.3048519111635104,0.3048451080810205,0.3048377367049279
0.3063887062800404,0.405619190700875,0.4056179420175128,0.4056164409579163,0.4056146424748053,0.405612496169516,0.4056099468770284,0.4056069359033864,0.4056034030978607,0.4055992898864615,0.405594543242504,0.4055891202434513,0.4055829926603804,0.405576149423014,0.4055685960189195,0.4055603468480923,0.405551408535308
0.4512993096510154,0.5236063361835086,0.5236049256304987,0.5236032299833675,0.5236011983541149,0.5235987738091241,0.5235958940298429,0.5235924927103925,0.5235885018981028,0.523583855420015,0.5235784933679458,0.5235723672459154,0.5235654451545559,0.5235577145758037,0.5235491816943403,0.5235398627608895,0.5235297652402433
0.6647473053570288,0.6509514592039516,0.6509500091497078,0.6509482660151267,0.6509461774855942,0.6509436850308707,0.6509407245840259,0.6509372279778858,0.6509331253507784,0.6509283486686528,0.6509228363354532,0.6509165384845184,0.6509094223081773,0.6509014749205743,0.6508927026602798,0.6508831222114596,0.6508727412225208
0.9791483623609764,0.7743365475205322,0.7743352326211059,0.7743336519554354,0.774331758083088,0.7743294979264769,0.7743268133862082,0.7743236426432757,0.7743199223401619,0.7743155907742568,0.774310592078157,0.7743048810176536,0.774298427824578,0.7742912207929736,0.7742832656469217,0.7742745774889505,0.7742651632233774
1.442249570307408,0.8776914889903329,0.8776904870062632,0.8776892824989129,0.8776878393155267,0.8776861170067715,0.8776840712953173,0.8776816550677441,0.8776788200361493,0.8776755191711586,0.8776717098870271,0.8776673576975847,0.8776624398989804,0.8776569475482219,0.8776508849816731,0.8776442636792013,0.8776370888684405
2.124380638329711,0.9483500962591591,0.9483495002704397,0.9483487838164274,0.9483479253914253,0.9483469009333043,0.9483456841019389,0.9483442468688673,0.9483425605052543,0.9483405970286869,0.948338331097373,0.9483357421845316,0.9483328167689226,0.9483295495118652,0.9483259429710295,0.9483220039504788,0.9483177355311486
3.129134644531897,0.984681551386669,0.9846813018482254,0.984681001869772,0.9846806424459242,0.9846802135004602,0.9846797040027347,0.9846791022143706,0.9846783961026918,0.9846775739462679,0.9846766251278146,0.984675541044487,0.9846743160250466,0.9846729478227743,0.9846714374957485,0.9846697878784438,0.9846680002439576
4.609100387635,0.9972582668325466,0.9972582034317853,0.9972581272150389,0.9972580358939175,0.9972579269077897,0.997257797453301,0.9972576445469784,0.9972574651301906,0.9972572562229187,0.9972570151251386,0.9972567396480588,0.997256428347147,0.9972560806474011,0.9972556968129725,0.9972552775587772,0.9972548232021088
6.789035563049437,0.9997634246737808,0.9997634168634835,0.9997634074742887,0.9997633962242244,0.9997633827977506,0.9997633668493848,0.9997633480114018,0.9997633259067481,0.9997633001679712,0.9997632704620144,0.999763236518695,0.9997631981594114,0.9997631553125805,0.9997631080099039,0.9997630563385101,0.99976300033638
10,,,,,,,,,,,0.9999928888941916,0.9999928872419884,0.9999928853963492,0.9999928833585864,0.9999928811323924,0.9999928787193334
