kTe_keV,theta,tau_T,density_cm3,disk_temperature_K,seed_surface_flux_cgs,ionizing_flux_model,ionizing_flux_cgs,ionization_parameter,effective_albedo,eta,p_sc,A_model,A_required,energy_log_residual,seed_flux_model,downward_flux_model,reflected_flux_model_observer,reflected_flux_model_hemisphere,observer_reflection_peak_x,last_scatter_order,last_difmax,root_method,root_iterations
10.0,0.019569471624266144,2.503278016744749,10000000000000.0,58022.590607750404,642688010615153.2,7.811050045490761e-12,632001798343368.6,794.1968826924259,0.001969598257434855,0.6169465047941648,0.967540680958761,1.6237755642466913,1.62408487193683,-0.00019046858518161622,7.943123307102427e-12,7.957283186815153e-12,1.7316782813493965e-14,1.5672651098666794e-14,0.00023755138987921695,102,0.002748260768957278,log_bisection,3
10.0,0.019569471624266144,2.498750901471724,1000000000000000.0,58022.590607750404,642688010615153.2,7.796444601234166e-12,630820053637853.5,7.927118584983199,0.00011935469364218943,0.6169126348195832,0.9673616290617724,1.6208597474521527,1.621168561790555,-0.00019050687401818794,7.943123307102427e-12,7.94255821324374e-12,1.0566471315817226e-15,9.479816022769622e-16,0.00023755138987921695,102,0.0027078315551195683,log_bisection,5
