tau_T,effective_albedo_ireflect_xi100_kTe_10,effective_albedo_ireflect_xi100_kTe_15,effective_albedo_ireflect_xi100_kTe_20,effective_albedo_ireflect_xi100_kTe_30,effective_albedo_ireflect_xi100_kTe_50
8,,,,0.2609273225601237,0.2158844121757781
10,,,,,
