kTe_keV,theta,tau_T,fixed_xi,eta,p_sc,A_model,effective_albedo_ireflect_xi100,downward_flux_model,last_scatter_order,last_difmax,converged,max_scatter,convergence_tolerance,tbb_keV,disk_temperature_K,hemisphere_mu_order,observer_mu,exact_angles
10.0,0.019569471624266144,8.0,100.0,0.49999999999999234,0.9999376429825093,4.691955723884265e+40,0.20736889152601123,1.8634391433138586e+29,2999,0.02738413493162269,False,3000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,10.0,100.0,0.49999999999998895,0.999992896996593,1.0845026898276108e+101,0.20515055024558035,4.3071692960923895e+89,2999,0.0717989040443337,False,3000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,8.0,100.0,0.4999999999999929,0.99993763760866,2.0156229341236964e+30,0.26031558139236893,8.005170753183943e+18,2999,0.019374850519104387,False,3000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,10.0,100.0,0.4999999999999898,0.9999928962426665,5.3137349410048366e+88,0.2592105722928247,2.1103825928829595e+77,2999,0.06283231306004143,False,3000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,8.0,100.0,0.4999999999999934,0.9999376324016339,4.624726688385286e+20,0.273980333779366,1836738717.3745651,2999,0.011831352947719562,False,3000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,10.0,100.0,0.49999999999999056,0.9999928955121297,3.7711749030900854e+77,0.2734645637975548,1.4977453633947015e+66,2999,0.05464622746320302,False,3000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,8.0,100.0,0.5004981744950759,0.9999376224587265,462318.6292211476,0.26092732256012374,1.8379563627590698e-06,333,0.002995120847949333,True,3000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,10.0,100.0,0.4999999999999917,0.9999928941171166,6.522788482294753e+57,0.2603261635097813,2.590565661050693e+46,2999,0.039963795804754336,False,3000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,8.0,100.0,0.5098637444455157,0.9999376042711372,53657.96833165658,0.21588441217577814,2.173099742889844e-07,135,0.002964663771207482,True,3000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,10.0,100.0,0.49999999999999345,0.999992891565217,1.0702669032453833e+25,0.2107758437354101,42506309919943.16,2999,0.014987862984527875,False,3000,0.0032,0.005,58022.590607750404,8,0.5,True
