d_ratio,theta,kTe_keV,tau_T,l_diss_local,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_c_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,root_method
0.0,0.020000000000000004,10.220000000000002,2.3791381196449644,1.5442012289100833e+23,0.5795536848947814,0.9622402989469123,2.156539550520425,2.1568321150903196,1.0481831542895446,2.2607550896683613,0.0,1.0481831542895446,7.734532406589265e-17,2.3845574353674116e+34,-0.0001356547003245512,global
0.0,0.022110233502181487,11.29832931961474,2.2811489874999085,3.278136203049824e+22,0.577851536149048,0.9574251662249522,2.1631320848566773,2.163185388984726,1.0347640026201308,2.2383863715152197,0.0,1.0347640026201308,2.0387132351586553e-11,2.190837320742328e+34,-2.4641801427582524e-05,continuation
0.0,0.02444312127604943,12.49043497206126,2.178588509330176,1.2331279552680675e+20,0.5758970440376516,0.9516963320944337,2.170718413066714,2.170526855349298,1.0194652201123717,2.2127766383484855,0.0,1.0194652201123717,1.3131541175762626e-06,1.9967881313738396e+34,8.825012442125522e-05,continuation
0.0,0.027022155946779643,13.808321688804398,2.0717704063751654,8.815185055922344e+17,0.5737233860139183,0.9448690513285687,2.1784964284262274,2.1787503010547935,1.00234148284052,2.183851807498491,0.0,1.00234148284052,0.023217414416394973,1.8041669421731876e+34,-0.00011652892049272613,continuation
0.0,0.029873308885782997,15.265260840635111,1.9617917357230672,1.1280832534591586e+16,0.5713483642922426,0.9367786834106375,2.187243427391534,2.1878070860471204,0.9834449514629178,2.151587833547838,0.0,0.9834449514629178,126.98390234273965,1.615961365702391e+34,-0.0002576695546592482,continuation
0.0,0.03302529174737275,16.875924082907478,1.8497329593335226,243697843841825.06,0.568798706287763,0.9272470266083388,2.1975866848286514,2.197613999789247,0.9628761033450999,2.1160300047737093,0.0,0.9628761033450999,241588.08911940746,1.4347587833917347e+34,-1.242944864450194e-05,continuation
0.0,0.03650984560060392,18.656531101908605,1.7355000162126362,8447799920763.877,0.5661328269250946,0.9159648900275011,2.2071295264516753,2.2079624083791,0.9407282006785715,2.077092503600396,0.0,0.9407282006785715,176702898.66334617,1.2610459526719737e+34,-0.00037728860444966,continuation
0.0,0.040362060567897325,20.625012950195533,1.6208482812480856,441025203606.16846,0.5633740046369419,0.9027742097718618,2.2177247384368184,2.2187747210763553,0.9171729042655801,2.035000054840653,0.0,0.9171729042655801,56444745063.72708,1.0978685243605767e+34,-0.0004733383464701927,continuation
0.0,0.04462072918927006,22.801192615717003,1.506823078835289,32679791271.96472,0.5605722486910245,0.8874683710316403,2.229349702361225,2.2298642198554024,0.8924358206664633,1.990010705021439,0.0,0.8924358206664633,8864467292609.398,9.466974121089351e+33,-0.00023076600738851507,continuation
0.0,0.04932873707061831,25.206984643085956,1.3943901864796093,3251625299.3778567,0.5577861295641308,0.8698532135033054,2.2415894474321085,2.2410023013243157,0.8667871386496344,1.9424719724721493,0.0,0.8667871386496344,764684198413434.4,8.0850573306178e+33,0.00026196724754768894,continuation
