ldiss,tau_T
0.09741736169915877,0.02751575653987824
0.1216822615333007,0.030156205049421334
0.1423669204590836,0.03244851823507304
0.16440275496186682,0.03459723600673453
0.2026834004100304,0.03826359565796731
0.2371373705661653,0.04079844065395466
0.2811018063413645,0.04430302628330619
0.32888605126190584,0.0472379648992476
0.4108056080177274,0.05177098269329942
0.4806380863064389,0.054699555651094446
0.5772495943043021,0.059399785745523556
0.693280669214452,0.06333811970890285
0.8435995970733468,0.06815804135691955
0.999999999999999,0.07267518376864185
1.201006767358562,0.07820361386294974
1.4424172552410648,0.08263170513490226
1.732352884899283,0.08811036548190963
2.053525026457144,0.09394983887209209
3.699830414406958,0.11287824825379215
4.502037321147283,0.12036543790097301
5.3366992312063015,0.12602306707328415
6.409411892036005,0.1331588197042286
7.901822552837807,0.14199489381079672
9.490142360424715,0.14867304049430977
11.699891065890654,0.15709943295136053
14.051648347492655,0.16599480994889573
17.09836349193574,0.17380619680670378
21.07966168082823,0.18365706970801307
24.987756933453642,0.1922896440865163
30.405667743070573,0.20133841373884698
36.517412725483695,0.2088938925096684
46.21391138727741,0.22074487990281255
56.97466997066952,0.22904047792154034
69.3280669214451,0.23764166813321905
84.35995970733455,0.24882461417770627
99.9999999999998,0.2558119286944221
126.55308231907368,0.2654391002012765
153.99265260594888,0.27540717314264646
187.3817422860379,0.28315563089270357
231.01297000831534,0.2937966264694044
281.1018063413638,0.30762211358902003
346.5554453992261,0.3162851180821976
410.80560801772634,0.3281456161281385
499.8775543415959,0.33737784640530116
632.6104528404948,0.3500746522443946
779.9117341213728,0.3599331707038076
974.1736169915852,0.37346914333354425
