theta,kTe_keV,eta_fixed,eta_reflect,tau_T_fixed,tau_T_reflect,tau_ratio_reflect_to_fixed,l_diss_fixed,l_diss_reflect,ldiss_ratio_reflect_to_fixed,effective_albedo_reflect,albedo_fixed,A_required_fixed,A_required_reflect,reflected_flux_model_observer,reflected_flux_model_hemisphere,downward_flux_model,observed_total_up_flux_reflect_model,energy_log_residual_fixed,energy_log_residual_reflect,root_method_fixed,root_method_reflect
0.020000000000000004,10.220000000000002,0.5795639807803459,0.5845929061988133,2.3788222487065687,2.1198146551280774,0.8911194000647502,1.7587236181700481e+25,6.031548260587228e+25,3.4295031909920293,4.241438785785829e-05,0.2,2.156793799222917,1.7106646447174159,3.0071332109089385e-09,2.6948717098032884e-09,6.353673472394577e-05,4.515170812055251e-05,-0.00044519126445602706,-0.00011667171833967291,global,global
0.02166221454872082,11.06939163439634,0.5782078777572328,0.5828728983398767,2.30192768279565,2.044563214197529,0.88819611036366,1.1118423691757454e+23,3.993526842235303e+23,3.591810271806667,6.875226698054841e-05,0.2,2.161852247410622,1.7157578604916262,4.881526586003801e-09,4.3685453559296425e-09,6.354038270717101e-05,4.547691454185647e-05,0.00033866240493595694,-8.559736971217852e-05,continuation,continuation
0.0234625769577406,11.989376825405447,0.5767244961492088,0.5809707186926064,2.220941050053761,1.9668062053518147,0.8855733497763056,1.1108855145346194e+21,4.1575199814682123e+21,3.7425278546456804,0.00010740912182988074,0.2,2.167412704586425,1.7214420425703911,7.633629652497982e-09,6.824419236868794e-09,6.353668217935537e-05,4.583391955708195e-05,1.9077332870840386e-05,-0.00018249831735871937,continuation,continuation
0.02541256879622253,12.985822654869713,0.5750719124549495,0.5789057133002056,2.1378806908034176,1.8870394160176331,0.8826682537220923,1.6851937627346164e+19,6.583985887066243e+19,3.9069607499509162,0.00016102397716892829,0.2,2.1736411967397617,1.7276752101968085,1.1451491417696797e-08,1.0230303289777373e-08,6.35327947405304e-05,4.6225016617237295e-05,0.0002927630435210774,-0.0002973064061738411,continuation,continuation
0.027524625874895018,14.065083822071355,0.5732995862351908,0.5767015687850412,2.051849816642582,1.8057546765770949,0.880061816381781,3.794535521480081e+17,1.5356876788827497e+18,4.047103183484617,0.00023151519180895748,0.2,2.1803608968369272,1.734400637943001,1.647244798656917e-08,1.4709125219370821e-08,6.353416855472944e-05,4.665049484959395e-05,-8.110709237537049e-05,-0.00034618799097019037,continuation,continuation
0.02981221755376242,15.234043169972598,0.5713813547129853,0.5743854965789917,1.9647565835804477,1.7234349647103597,0.8771748007428387,1.2209745934018056e+16,5.11081522336136e+16,4.185848952943333,0.00032002969941356243,0.2,2.1876807664259474,1.7415483818951927,2.278031347521065e-08,2.0336182245617693e-08,6.354467189414819e-05,4.710881248935794e-05,0.0004638668475669338,-0.0002694226142829352,continuation,continuation
0.03228993264113712,16.500155579621072,0.569380594140586,0.5719873697087962,1.8751883836767949,1.6405498278728028,0.8748720086757779,551768956666397.0,2350854569542852.0,4.2605778036987205,0.0004273412502738152,0.2,2.195368112056453,1.749037788121474,3.0434200128698964e-08,2.7164651530434855e-08,6.356664963428955e-05,4.7596744838461765e-05,6.705338221209258e-05,-3.097124637182351e-05,continuation,continuation
0.034973572431802796,17.87149551265123,0.5672799933051377,0.5695387121695306,1.785004971502974,1.5575511806528557,0.8725752619845073,33723601247569.11,144766453802110.3,4.292734122295005,0.0005545159601400956,0.2,2.2034974170640806,1.7567810620059547,3.9515896887326094e-08,3.5267683877136065e-08,6.360084544406236e-05,4.810947365738526e-05,0.00022336028294665542,0.0003795989894558955,continuation,continuation
0.037880251477647016,19.356808505077627,0.5651235678065534,0.5670699708097775,1.6935847112184201,1.4739005994803882,0.8702845447984802,2727533432624.676,11656540213168.154,4.2736562176439366,0.0006997607781495277,0.2,2.2119056277403133,1.7646856689610664,4.985905707891616e-08,4.449691011176029e-08,6.358874561307866e-05,4.859673847502378e-05,-0.00021862420056058588,4.399854042699249e-05,continuation,continuation
0.041028506733414426,20.965566940774774,0.562909421773233,0.5646158631723588,1.60262824884468,1.3910810656421528,0.8679998412888145,281028870803.607,1180160391220.2463,4.199427581392463,0.0008684855427608299,0.2,2.2206059299244774,1.7726551904546928,6.18806669150006e-08,5.5223857094324414e-08,6.358638615764774e-05,4.909433911696276e-05,7.488401650708168e-05,-0.00016196423956949603,continuation,continuation
