parameter,q16,median,q84,acceptance_fraction,n_clean_compTT,likelihood,intrinsic_log_scatter
f_corona,0.9322662188979519,0.9702655130618375,0.992409389014085,0.8898214285714285,14,local_curve_distance_gaussian_with_log_sigma,0.25
g_feedback,0.025320642594652665,0.06996853078456505,0.1429992720452231,0.8898214285714285,14,local_curve_distance_gaussian_with_log_sigma,0.25
