intrinsic_log_scatter,error_model,f_q16,f_median,f_q84,g_q16,g_median,g_q84,f_map,g_map,log_posterior_map,n_clean_compTT,method
0.0,mean,0.9843451168325628,0.9920956199016692,0.9977233383708701,0.010318379788316855,0.026050013201375583,0.04175142338075824,1.0,0.03997397867973185,-11.242212367586227,14,local_curve_distance_split_normal_gaussian_error_test
0.25,mean,0.9424411214523002,0.9760096232969402,0.9935853176769011,0.027155740486831486,0.07578976695222436,0.15257776631065503,1.0,0.06476728987882968,-16.09171722008804,14,local_curve_distance_split_normal_gaussian_error_test
0.0,asymmetric,0.9837551976817783,0.9918060176173412,0.9976342302616386,0.010492603240259019,0.026623966332683064,0.04305096554235518,1.0,0.0360468841210231,-12.26226524249769,14,local_curve_distance_split_normal_gaussian_error_test
0.25,asymmetric,0.9438321650033128,0.9767784528018096,0.9937914867182559,0.026171001480210676,0.07273382713494764,0.14784034287915745,1.0,0.06938977653407324,-16.547513831286864,14,local_curve_distance_split_normal_gaussian_error_test
