f_corona,g_feedback,kTe_keV,tau_T
0.1,0.1,10.0,0.7192580637663085
0.1,0.1,10.168767647860228,0.7050602358733995
0.1,0.1,10.340383547616884,0.6911592646709933
0.1,0.1,10.514895768547275,0.6775504187630178
0.1,0.1,10.692353191182594,0.6642207790800445
0.1,0.1,10.872805520999258,0.651157501088356
0.1,0.1,11.056303302341332,0.6380294460482318
0.1,0.1,11.242897932577874,0.6240669480215132
0.1,0.1,11.432641676499253,0.6104056862087996
0.1,0.1,11.625587680956412,0.5978358516730291
0.1,0.1,11.821789989747199,0.5870506958629614
0.1,0.1,12.021303558753923,0.5764379830369206
0.1,0.1,12.22418427133639,0.565450330487353
0.1,0.1,12.43048895398473,0.5540032058004799
0.1,0.1,12.640275392236385,0.5427462390603852
0.1,0.1,12.853602346861711,0.5316696649635546
0.1,0.1,13.070529570322767,0.5207631419494706
0.1,0.1,13.29111782350986,0.5100177618070136
0.1,0.1,13.515428892760552,0.4986329118156714
0.1,0.1,13.74352560716589,0.489447767947693
0.1,0.1,13.975471856168708,0.4803905279702434
0.1,0.1,14.21133260745895,0.47145607448943555
0.1,0.1,14.451173925170965,0.46263586676008256
0.1,0.1,14.695062988387981,0.45392561625802397
0.1,0.1,14.943068109958794,0.44443115969536234
0.1,0.1,15.195258755632087,0.4349633564052858
0.1,0.1,15.451705563513645,0.4256051078468545
0.1,0.1,15.712480363851945,0.41635189207491846
0.1,0.1,15.977656199157677,0.40863880333936775
0.1,0.1,16.247307344662794,0.4015540940608379
0.1,0.1,16.521509329124886,0.3938606456313246
0.1,0.1,16.80033895598261,0.38626193803499503
0.1,0.1,17.083874324868184,0.3787486304932377
0.1,0.1,17.37219485348296,0.37131552281414454
0.1,0.1,17.66538129984215,0.363955246762004
0.1,0.1,17.96351578489499,0.3563661191332229
0.1,0.1,18.26668181552667,0.3483073223467611
0.1,0.1,18.574964307948434,0.3409153409473566
0.1,0.1,18.88844961148245,0.33488629201660186
0.1,0.1,19.207225532748076,0.328922220384536
0.1,0.1,19.531381360256354,0.32302342977028553
0.1,0.1,19.861007889419515,0.31679402200704176
0.1,0.1,20.19619744798259,0.3103514228243004
0.1,0.1,20.537043921884266,0.30397378790997115
0.1,0.1,20.883642781554126,0.2976516991563341
0.1,0.1,21.236091108653728,0.2913821750754435
0.1,0.1,21.59448762326903,0.2851537034916345
0.1,0.1,21.958932711561623,0.279798368102587
0.1,0.1,22.32952845388675,0.27461194111114595
0.1,0.1,22.7063786533858,0.2694845492706395
0.1,0.1,23.089588865061362,0.26441092061467714
0.1,0.1,23.479266425342974,0.2593898769283645
0.1,0.1,23.875520482151853,0.254398066407565
0.1,0.1,24.278462025473,0.2489082994705366
0.1,0.1,24.688203918443293,0.24346944885323601
0.1,0.1,25.104860928964218,0.23807539770407218
0.1,0.1,25.52854976184816,0.23340889628998873
0.1,0.1,25.959389091507152,0.22933863333913404
0.1,0.1,26.397499595193363,0.2251951197509257
0.1,0.1,26.843003986800575,0.2207668810321166
0.1,0.1,27.29602705123608,0.21638984970094888
0.1,0.1,27.756695679372694,0.2120619592214386
0.1,0.1,28.225138903590686,0.20778102373558363
0.1,0.1,28.701487933919406,0.20353859251915607
0.1,0.1,29.18587619478904,0.19910905838511875
0.1,0.1,29.678439362402475,0.19467904942027225
